Altium Designer Pick and Place Locations
C:\Users\PS\Documents\CTI\AFC4\OH\afc\circuit_board\Project Outputs for AMC_FMC_Carrier v4\Pick Place\Pick Place for AMC_FMC_Carrier_v4(LNLS_FOFB).csv

========================================================================================================================
File Design Information:

Date:       27.08.21
Time:       10:51
Revision:   Not in VersionControl
Variant:    LNLS_FOFB
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"IC35","SN74AVC2T245RSWR","TopLayer","QFN40P140X180X55-10N","-157.8134","27.8750","270","Dual-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs"
"IC34","SN74AVC2T245RSWR","TopLayer","QFN40P140X180X55-10N","-168.7180","24.7618","180","Dual-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs"
"IC29","SN74AVC2T245RSWR","TopLayer","QFN40P140X180X55-10N","-149.8998","13.1000","90","Dual-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs"
"IC28","SN74AVC2T245RSWR","TopLayer","QFN40P140X180X55-10N","-151.4966","7.9756","90","Dual-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs"
"IC23","SN74AVC8T245RHL","BottomLayer","TEXAS_RHL_(S-PVQFN-N24)","-13.8818","-8.9176","270","8-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs"
"IC17","SN74AVC2T245RSWR","TopLayer","QFN40P140X180X55-10N","-134.0214","20.3518","270","Dual-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs"
"D32","BAT165","BottomLayer","SOD2512X110N","-24.2316","-4.7752","270","Schottky Diode"
"D31","BAT165","BottomLayer","SOD2512X110N","-16.3576","-4.4704","270","Schottky Diode"
"D30","BAT165","TopLayer","SOD2512X110N","-124.5108","32.6136","0","Schottky Diode"
"D8","BAT165","TopLayer","SOD2512X110N","-126.0094","86.4108","0","Schottky Diode"
"C434","100nF","TopLayer","CAPC0603X33N","-139.8270","-21.8694","0","Non-polarised capacitor"
"C418","100nF","TopLayer","CAPC0603X33N","-144.8054","-16.8148","270","Non-polarised capacitor"
"C415","100nF","TopLayer","CAPC0603X33N","-134.7470","18.5928","180","Non-polarised capacitor"
"C400","100nF","TopLayer","CAPC0603X33N","-133.1976","18.5928","0","Non-polarised capacitor"
"C382","100nF","TopLayer","CAPC0603X33N","-123.3170","54.9402","90","Non-polarised capacitor"
"C381","100nF","TopLayer","CAPC0603X33N","-123.3170","53.3908","270","Non-polarised capacitor"
"C378","100nF","TopLayer","CAPC0603X33N","-150.6728","14.8590","0","Non-polarised capacitor"
"C377","100nF","TopLayer","CAPC0603X33N","-149.1234","14.8590","180","Non-polarised capacitor"
"C312","100nF","TopLayer","CAPC0603X33N","-170.4594","25.5524","270","Non-polarised capacitor"
"C311","100nF","BottomLayer","CAPC0603X33N","-17.6784","-7.1628","270","Non-polarised capacitor"
"C310","100nF","BottomLayer","CAPC0603X33N","-17.6530","-10.9982","270","Non-polarised capacitor"
"C309","100nF","BottomLayer","CAPC0603X33N","-17.6530","-9.4488","90","Non-polarised capacitor"
"C305","100nF","TopLayer","CAPC0603X33N","-16.6068","-8.1676","0","Non-polarised capacitor"
"C128","100nF","TopLayer","CAPC0603X33N","-168.7322","-10.1600","0","Non-polarised capacitor"
"C492","10uF","TopLayer","CAPC1608X87N","-124.7906","-1.1293","180","Non-polarised capacitor"
"C495","100nF","TopLayer","CAPC0603X33N","-131.8029","3.5529","270","Non-polarised capacitor"
"C486","10uF","TopLayer","CAPC1608X87N","-124.5421","-7.3065","180","Non-polarised capacitor"
"C440","100nF","TopLayer","CAPC0603X33N","-139.3398","4.0240","270","Non-polarised capacitor"
"C853","100nF","TopLayer","CAPC0603X33N","-143.1165","-6.1606","0","Non-polarised capacitor"
"C435","10uF","TopLayer","CAPC1608X87N","-147.4273","-4.9519","0","Non-polarised capacitor"
"C481","100nF","TopLayer","CAPC0603X33N","-137.0106","-11.8072","90","Non-polarised capacitor"
"C438","100nF","TopLayer","CAPC0603X33N","-127.2593","-11.7072","90","Non-polarised capacitor"
"C491","100nF","TopLayer","CAPC0603X33N","-127.4490","-3.8734","180","Non-polarised capacitor"
"C852","10uF","TopLayer","CAPC1608X87N","-143.5082","-7.3450","0","Non-polarised capacitor"
"C490","10uF","TopLayer","CAPC1608X87N","-124.7392","-2.7465","180","Non-polarised capacitor"
"C499","100nF","TopLayer","CAPC0603X33N","-133.7845","3.5253","270","Non-polarised capacitor"
"C494","10uF","TopLayer","CAPC1608X87N","-131.2839","5.9467","270","Non-polarised capacitor"
"C851","100nF","TopLayer","CAPC0603X33N","-143.3989","-0.5053","0","Non-polarised capacitor"
"C442","100nF","TopLayer","CAPC0603X33N","-128.0750","-11.7072","90","Non-polarised capacitor"
"C477","10uF","TopLayer","CAPC1608X87N","-139.1096","-14.2178","90","Non-polarised capacitor"
"C484","10uF","TopLayer","CAPC1608X87N","-130.8000","-12.5750","0","Non-polarised capacitor"
"C503","100nF","TopLayer","CAPC0603X33N","-135.6875","3.4120","270","Non-polarised capacitor"
"C444","100nF","TopLayer","CAPC0603X33N","-130.5640","3.5483","270","Non-polarised capacitor"
"C849","100nF","TopLayer","CAPC0603X33N","-143.3707","-2.1944","0","Non-polarised capacitor"
"C460","2.2uF","TopLayer","CAPC1005X55N","-144.0502","-9.5184","0","Non-polarised capacitor"
"C458","10uF","TopLayer","CAPC1608X87N","-124.3421","-9.0385","180","Non-polarised capacitor"
"C497","10uF","TopLayer","CAPC1608X87N","-133.8084","6.0147","270","Non-polarised capacitor"
"C507","100nF","TopLayer","CAPC0603X33N","-137.1182","3.1512","180","Non-polarised capacitor"
"C436","100nF","TopLayer","CAPC0603X33N","-143.1596","-4.0947","0","Non-polarised capacitor"
"C462","100nF","TopLayer","CAPC0603X33N","-127.1784","-8.7550","180","Non-polarised capacitor"
"C441","10uF","TopLayer","CAPC1608X87N","-125.0540","-11.8682","180","Non-polarised capacitor"
"C501","10uF","TopLayer","CAPC1608X87N","-135.2875","5.9504","270","Non-polarised capacitor"
"C485","100nF","TopLayer","CAPC0603X33N","-133.1754","-11.7504","90","Non-polarised capacitor"
"C854","100nF","TopLayer","CAPC0603X33N","-142.6124","-9.7464","90","Non-polarised capacitor"
"C480","10uF","TopLayer","CAPC1608X87N","-137.3602","-14.0304","90","Non-polarised capacitor"
"C505","10uF","TopLayer","CAPC1608X87N","-137.8867","5.0465","270","Non-polarised capacitor"
"C487","100nF","TopLayer","CAPC0603X33N","-127.1391","-6.5609","180","Non-polarised capacitor"
"C445","10nF","TopLayer","CAPC0603X33N","-143.3930","1.0818","0","Non-polarised capacitor"
"C482","10uF","TopLayer","CAPC1608X87N","-135.6420","-13.9054","90","Non-polarised capacitor"
"C850","10uF","TopLayer","CAPC1608X87N","-145.8938","-0.2520","0","Non-polarised capacitor"
"C489","100nF","TopLayer","CAPC0603X33N","-127.2282","-5.1860","180","Non-polarised capacitor"
"C443","10nF","TopLayer","CAPC0603X33N","-127.5481","0.6958","180","Non-polarised capacitor"
"FB11","120R@100MHz","TopLayer","INDC1005X55N","-124.7740","-10.7145","0",""
"FB13","120R@100MHz","TopLayer","INDC1005X55N","-121.5217","-9.6855","0",""
"FB12","120R@100MHz","TopLayer","INDC1005X55N","-145.6595","-8.9179","270",""
"FB19","120R@100MHz","TopLayer","INDC1005X55N","-121.9534","-4.4705","0",""
"FB10","120R@100MHz","TopLayer","INDC1005X55N","-147.5933","-6.1973","180",""
"FB22","120R@100MHz","TopLayer","INDC1005X55N","-129.9953","5.4763","90",""
"FB16","120R@100MHz","TopLayer","INDC1005X55N","-136.5250","-16.1036","180",""
"FB25","120R@100MHz","TopLayer","INDC1005X55N","-139.1949","5.7007","90",""
"FB4","120R@100MHz","TopLayer","INDC1005X55N","-147.5933","-3.5273","180",""
"FB9","120R@100MHz","TopLayer","INDC1005X55N","-145.7003","1.1134","0",""
"FB15","120R@100MHz","TopLayer","INDC1005X55N","-138.4202","-16.1075","180",""
"FB18","120R@100MHz","TopLayer","INDC1005X55N","-121.9385","-7.7507","0",""
"FB21","120R@100MHz","TopLayer","INDC1005X55N","-121.9137","-1.2460","0",""
"FB24","120R@100MHz","TopLayer","INDC1005X55N","-136.5774","5.6229","90",""
"FB17","120R@100MHz","TopLayer","INDC1005X55N","-127.9000","-14.9000","270",""
"FB14","120R@100MHz","TopLayer","INDC1005X55N","-140.5897","-14.5407","270",""
"FB20","120R@100MHz","TopLayer","INDC1005X55N","-122.0184","-2.5647","0",""
"FB23","120R@100MHz","TopLayer","INDC1005X55N","-132.5694","5.5828","90",""
"C493","100nF","TopLayer","CAPC0603X33N","-127.5476","-2.6773","180","Non-polarised capacitor"
"C488","10uF","TopLayer","CAPC1608X87N","-124.4179","-4.8908","180","Non-polarised capacitor"
"C483","100nF","TopLayer","CAPC0603X33N","-134.9756","-11.8110","90","Non-polarised capacitor"
"C439","100nF","TopLayer","CAPC0603X33N","-143.3781","2.2537","0","Non-polarised capacitor"
"C848","10uF","TopLayer","CAPC1608X87N","-145.7073","-2.2508","0","Non-polarised capacitor"
"C464","10nF","TopLayer","CAPC0603X33N","-139.5077","-11.8072","90","Non-polarised capacitor"
"C479","100nF","TopLayer","CAPC0603X33N","-138.5590","-11.9666","90","Non-polarised capacitor"
"C437","10nF","TopLayer","CAPC0603X33N","-140.3763","4.0063","270","Non-polarised capacitor"
"IC45","SN74AUP1T87DCKR","TopLayer","DCK0005A_L","-165.8112","78.5114","270","Low Power, 1.8/2.5/3.3-V In, 3.3-V CMOS Out, 2-Input Positive Exclusive-NOR Gate, DCK0005A, LARGE T&R"
"R437","100","TopLayer","RESC1005X40N","-166.0144","76.5302","0","Resistor - 1%"
"R393","240","BottomLayer","RESC1005X40N","-13.6906","-13.0048","180","Resistor - 1%"
"R392","330","BottomLayer","RESC1005X40N","-15.5448","-13.0048","0","Resistor - 1%"
"R391","240","BottomLayer","RESC1005X40N","-13.6906","-14.5034","180","Resistor - 1%"
"R389","330","BottomLayer","RESC1005X40N","-15.5448","-14.5034","0","Resistor - 1%"
"R388","240","BottomLayer","RESC1005X40N","-13.6906","-16.0020","180","Resistor - 1%"
"R387","330","BottomLayer","RESC1005X40N","-15.5448","-16.0020","0","Resistor - 1%"
"R377","240","BottomLayer","RESC1005X40N","-13.6906","-17.5006","180","Resistor - 1%"
"R373","330","BottomLayer","RESC1005X40N","-15.5448","-17.5006","0","Resistor - 1%"
"R371","240","BottomLayer","RESC1005X40N","-13.6906","-19.0246","180","Resistor - 1%"
"R367","330","BottomLayer","RESC1005X40N","-15.5448","-19.0246","0","Resistor - 1%"
"R365","0","TopLayer","RESC0603X28N","-19.8882","-10.5157","0","Resistor"
"R361","240","BottomLayer","RESC1005X40N","-13.6906","-20.5232","180","Resistor - 1%"
"R349","330","BottomLayer","RESC1005X40N","-15.5448","-20.5232","0","Resistor - 1%"
"R345","240","BottomLayer","RESC1005X40N","-13.6906","-22.0218","180","Resistor - 1%"
"R310","330","BottomLayer","RESC1005X40N","-15.5448","-22.0218","0","Resistor - 1%"
"R309","240","BottomLayer","RESC1005X40N","-13.6906","-23.5204","180","Resistor - 1%"
"R293","330","BottomLayer","RESC1005X40N","-15.5448","-23.5204","0","Resistor - 1%"
"C306","1uF","TopLayer","CAPC1608X87N","-138.2014","89.3318","90","Non-polarised capacitor"
"C215","100nF","TopLayer","CAPC0603X33N","-123.2232","57.9198","270","Non-polarised capacitor"
"C214","100nF","TopLayer","CAPC0603X33N","-123.2232","59.4692","90","Non-polarised capacitor"
"R249","0","TopLayer","RESC0603X28N","-115.1607","0.8450","270","Resistor"
"R215","0","TopLayer","RESC0603X28N","-115.9257","0.8382","270","Resistor"
"R539","0","TopLayer","RESC0603X28N","-110.8964","15.7735","180","Resistor"
"R549","0","TopLayer","RESC0603X28N","-117.6529","24.2824","270","Resistor"
"R548","0","TopLayer","RESC0603X28N","-115.4177","24.1554","270","Resistor"
"R546","0","BottomLayer","RESC0603X28N","-99.1112","19.5325","180","Resistor"
"R544","0","BottomLayer","RESC0603X28N","-99.1112","20.8787","180","Resistor"
"R538","0","TopLayer","RESC0603X28N","-109.7534","22.1487","0","Resistor"
"R536","0","BottomLayer","RESC0603X28N","-98.6794","-7.1375","180","Resistor"
"R535","0","TopLayer","RESC0603X28N","-109.4234","15.7734","0","Resistor"
"R534","0","TopLayer","RESC0603X28N","-109.7534","23.2663","0","Resistor"
"R532","0","BottomLayer","RESC0603X28N","-98.4508","-8.3821","180","Resistor"
"R530","0","TopLayer","RESC0603X28N","-95.5804","24.7396","180","Resistor"
"R528","0","BottomLayer","RESC0603X28N","-98.4965","-4.5419","180","Resistor"
"R526","0","TopLayer","RESC0603X28N","-95.5802","25.9589","180","Resistor"
"R524","0","BottomLayer","RESC0603X28N","-98.4917","-5.8072","180","Resistor"
"R522","0","TopLayer","RESC0603X28N","-114.0969","15.4432","270","Resistor"
"R520","0","TopLayer","RESC0603X28N","-118.1862","-0.1271","0","Resistor"
"R518","0","TopLayer","RESC0603X28N","-115.2651","14.1732","90","Resistor"
"R516","0","TopLayer","RESC0603X28N","-118.1862","1.0921","0","Resistor"
"R514","0","TopLayer","RESC0603X28N","-115.3413","16.0528","90","Resistor"
"R512","0","TopLayer","RESC0603X28N","-118.1862","-7.7217","0","Resistor"
"R510","0","TopLayer","RESC0603X28N","-117.6783","16.8148","270","Resistor"
"R508","0","TopLayer","RESC0603X28N","-118.1862","-6.4517","0","Resistor"
"R506","0","TopLayer","RESC0603X28N","-109.8042","10.6679","0","Resistor"
"R504","0","TopLayer","RESC0603X28N","-108.6866","-10.8711","180","Resistor"
"R502","0","TopLayer","RESC0603X28N","-109.8296","11.9633","0","Resistor"
"R500","0","TopLayer","RESC0603X28N","-110.1598","-10.8965","180","Resistor"
"R498","0","TopLayer","RESC0603X28N","-111.7854","12.1411","0","Resistor"
"R496","0","TopLayer","RESC0603X28N","-111.2773","-11.2522","90","Resistor"
"R494","0","TopLayer","RESC0603X28N","-109.5756","13.2081","180","Resistor"
"R492","0","TopLayer","RESC0603X28N","-112.6489","-10.5918","90","Resistor"
"R490","0","TopLayer","RESC0603X28N","-113.9953","11.7602","270","Resistor"
"R488","0","TopLayer","RESC0603X28N","-115.5700","-10.8713","0","Resistor"
"R486","0","TopLayer","RESC0603X28N","-115.2145","12.0396","270","Resistor"
"R484","0","TopLayer","RESC0603X28N","-115.5700","-12.1667","0","Resistor"
"R482","0","TopLayer","RESC0603X28N","-102.9419","11.7857","180","Resistor"
"R480","0","TopLayer","RESC0603X28N","-117.1448","-10.7697","0","Resistor"
"R478","0","TopLayer","RESC0603X28N","-102.9419","13.4875","180","Resistor"
"R476","0","TopLayer","RESC0603X28N","-117.1702","-9.4997","0","Resistor"
"R450","0","TopLayer","RESC0603X28N","-93.1420","30.7338","270","Resistor"
"R448","0","TopLayer","RESC0603X28N","-110.5408","-15.9767","0","Resistor"
"R442","0","TopLayer","RESC0603X28N","-93.1417","29.2862","90","Resistor"
"R438","0","TopLayer","RESC0603X28N","-110.5408","-14.6813","0","Resistor"
"R390","0","TopLayer","RESC0603X28N","-110.7186","-13.4873","180","Resistor"
"R386","0","TopLayer","RESC0603X28N","-112.0648","-14.6813","0","Resistor"
"R378","0","TopLayer","RESC0603X28N","-97.7648","27.0005","90","Resistor"
"R376","0","TopLayer","RESC0603X28N","-115.4684","-16.0529","0","Resistor"
"R374","0","TopLayer","RESC0603X28N","-97.7648","28.4225","270","Resistor"
"R372","0","TopLayer","RESC0603X28N","-115.2652","-14.6305","0","Resistor"
"R370","0","TopLayer","RESC0603X28N","-110.4900","5.6643","180","Resistor"
"R368","0","TopLayer","RESC0603X28N","-116.8654","-14.6813","0","Resistor"
"R366","0","TopLayer","RESC0603X28N","-111.2774","4.2927","180","Resistor"
"R364","0","TopLayer","RESC0603X28N","-116.8654","-13.4113","0","Resistor"
"R362","0","TopLayer","RESC0603X28N","-107.1882","29.6418","180","Resistor"
"R360","0","TopLayer","RESC0603X28N","-108.9407","-20.4724","270","Resistor"
"R358","0","TopLayer","RESC0603X28N","-107.1882","30.4292","180","Resistor"
"R252","0","TopLayer","RESC0603X28N","-110.1853","-20.4470","270","Resistor"
"R250","0","TopLayer","RESC0603X28N","-99.9042","23.0124","180","Resistor"
"R245","0","TopLayer","RESC0603X28N","-111.7092","-18.5421","0","Resistor"
"R216","0","TopLayer","RESC0603X28N","-99.9042","23.7998","180","Resistor"
"R51","0","TopLayer","RESC0603X28N","-111.7346","-17.2467","0","Resistor"
"X3","32.768kHz","TopLayer","XTAL_ABRACON_ABS25","-172.7000","93.7750","180","Crystal 4 pins 1=XTAL Control 2 And 3=NC 4=XTAL"
"X1","8MHz","TopLayer","XTAL_TXC_7A","-153.4668","105.4608","180","Quartz Crystal"
"TP12","Test Point","BottomLayer","TPS127","-88.9254","94.6404","90","Test Point"
"TP11","Test Point","BottomLayer","TPS127","-86.7156","107.5944","90","Test Point"
"TP10","Test Point","BottomLayer","TPS127","-94.3356","96.7232","90","Test Point"
"TP9","Test Point","BottomLayer","TPS127","-52.7812","35.9410","180","Test Point"
"TP8","Test Point","BottomLayer","TPS127","-78.0542","90.1192","180","Test Point"
"TP7","Test Point","BottomLayer","TPS127","-98.3234","62.9412","180","Test Point"
"TP5","Test Point","BottomLayer","TPS127","-98.3488","28.0924","180","Test Point"
"TP3","Test Point","BottomLayer","TPS127","-101.8286","98.8314","180","Test Point"
"TP2","Test Point","BottomLayer","TPS127","-62.9920","19.8882","180","Test Point"
"TP1","Test Point","BottomLayer","TPS127","-94.3610","62.9412","180","Test Point"
"Q18","IRF9310TRPBF","BottomLayer","SOIC127P600X175-8N","-40.4368","-31.1150","180","-30V -20A P-Channel HEXFET® Power MOSFET"
"T16","BSS138LT1G","TopLayer","SOT95P240X110-3N","-131.5466","80.0100","90","N-CHANNEL MOSFET WITH DIODE"
"T12","BSS138LT1G","TopLayer","SOT95P240X110-3N","-152.5778","3.6322","180","N-CHANNEL MOSFET WITH DIODE"
"Q17","Si2315BDS-T1-E3","BottomLayer","SOT95P237X112-3N","-13.0556","43.3832","90","P-CHANNEL MOSFET WITH DIODE"
"Q15","BSS138LT1G","BottomLayer","SOT95P240X110-3N","-13.2232","36.7608","90","N-CHANNEL MOSFET WITH DIODE"
"T9","BSS138LT1G","TopLayer","SOT95P240X110-3N","-131.5466","83.9724","90","N-CHANNEL MOSFET WITH DIODE"
"T8","BSS138LT1G","TopLayer","SOT95P240X110-3N","-97.9170","-23.8506","90","N-CHANNEL MOSFET WITH DIODE"
"T7","BSS138LT1G","TopLayer","SOT95P240X110-3N","-94.0308","-24.0030","0","N-CHANNEL MOSFET WITH DIODE"
"R473","10k","TopLayer","RESC1005X40N","-168.5750","77.3000","0","Resistor - 1%"
"R472","3k3","TopLayer","RESC1608X55N","-147.3454","103.9114","270","Resistor - 1%"
"R471","10k","TopLayer","RESC1005X40N","-146.1008","104.2162","90","Resistor - 1%"
"R470","10k","TopLayer","RESC1005X40N","-51.3080","-5.6134","0","Resistor - 1%"
"R469","10k","TopLayer","RESC1005X40N","-54.9148","-5.4356","0","Resistor - 1%"
"R468","10k","BottomLayer","RESC1005X40N","-56.3250","-4.4250","270","Resistor - 1%"
"R467","10k","TopLayer","RESC1005X40N","-56.7182","0.0762","0","Resistor - 1%"
"R466","10k","TopLayer","RESC1005X40N","-56.7944","-6.1976","0","Resistor - 1%"
"R465","10k","BottomLayer","RESC1005X40N","-25.0444","-16.9926","90","Resistor - 1%"
"R464","10k","BottomLayer","RESC1005X40N","-24.4250","-19.2300","270","Resistor - 1%"
"R463","10k","TopLayer","RESC1005X40N","-24.6126","-21.6154","180","Resistor - 1%"
"R462","10k","TopLayer","RESC1005X40N","-24.6126","-15.1130","180","Resistor - 1%"
"R461","0","BottomLayer","RESC1005X40N","-24.2083","52.6817","0","Resistor"
"R460","0","BottomLayer","RESC1005X40N","-24.2083","51.7165","0","Resistor"
"R459","0","TopLayer","RESC1005X40N","-141.6442","-29.8376","0","Resistor"
"R458","0","TopLayer","RESC1005X40N","-141.6442","-28.5676","0","Resistor"
"R457","0","TopLayer","RESC1005X40N","-141.6442","-27.2976","0","Resistor"
"R456","3k9","TopLayer","RESC1005X40N","-130.4544","-20.5486","90","Resistor - 1%"
"R440","100k","TopLayer","RESC1005X40N","-161.5948","-21.1074","90","Resistor - 1%"
"R214","100k","TopLayer","RESC1005X40N","-170.3452","-3.8354","180","Resistor - 1%"
"R453","10k","TopLayer","RESC1005X40N","-29.6418","-33.1470","270","Resistor - 1%"
"R452","0","TopLayer","RESC1005X40N","-139.8016","14.8082","180","Resistor"
"R451","0","TopLayer","RESC1005X40N","-136.7282","14.8082","0","Resistor"
"R447","0","TopLayer","RESC1005X40N","-141.9860","8.2042","180","Resistor"
"R444","0","TopLayer","RESC1005X40N","-139.0650","8.2296","0","Resistor"
"R443","0","TopLayer","RESC1005X40N","-120.4349","48.7680","180","Resistor"
"R439","2k2","TopLayer","RESC1005X40N","-166.7256","-10.2616","180","Resistor - 1%"
"R271","2k2","TopLayer","RESC1005X40N","-164.8460","-10.2616","0","Resistor - 1%"
