IC2;A13;Tx116_0_N;C195;1;DP1.DP3_C2M_N;J15A;a31;end
IC2;A13;Tx116_0_N;C778;1;GTP0_TX_N;J2;f10;end
IC2;A15;Tx116_2_N;C185;1;DP1.DP1_C2M_N;J15A;a23;end
IC2;A15;Tx116_2_N;C786;1;GTP2_TX_N;J2;f8;end
IC2;A17;Tx116_3_N;C179;1;DP1.DP0_C2M_N;J15A;c3;end
IC2;A17;Tx116_3_N;C790;1;GTP3_TX_N;J2;f7;end
IC2;A19;Tx216_3_N;C343;1;PIPE1.Tx7_N;P1;66;end
IC2;A21;Tx216_2_N;C347;1;PIPE1.Tx6_N;P1;60;end
IC2;A23;Tx216_0_N;C335;1;PIPE1.Tx4_N;P1;45;end
IC2;AG14;MGT113_CLK0_P;C411;1;MGT.FLEX_GTP113_CLK0_P$;IC73;81;end
IC2;AG16;MGT113_CLK1_P;C402;1;MGT.FLEX_GTP113_CLK1_P$;IC51;1;end
IC2;AG18;MGT213_CLK1_P;C219;1;MGT.FLEX_GTP213_CLK1_P$;IC85;1;end
IC2;AG18;MGT213_CLK1_P;C840;1;GBT2.GBTCLK1_M2C_P$;J15B;b20;end
IC2;AG20;MGT213_CLK0_P;C202;1;GBT2.GBTCLK0_M2C_P$;J15B;d4;end
IC2;AG20;MGT213_CLK0_P;C397;1;MGT.125_GTP213_CLK0_P$;IC38;1;end
IC2;AG20;MGT213_CLK0_P;C792;1;GTP4-7_CLK_IN_P;J2;a5;end
IC2;AH14;MGT113_CLK0_N;C413;1;MGT.FLEX_GTP113_CLK0_N$;IC73;82;end
IC2;AH16;MGT113_CLK1_N;C409;1;MGT.FLEX_GTP113_CLK1_N$;IC51;2;end
IC2;AH18;MGT213_CLK1_N;C220;1;MGT.FLEX_GTP213_CLK1_N$;IC85;2;end
IC2;AH18;MGT213_CLK1_N;C841;1;GBT2.GBTCLK1_M2C_N$;J15B;b21;end
IC2;AH20;MGT213_CLK0_N;C203;1;GBT2.GBTCLK0_M2C_N$;J15B;d5;end
IC2;AH20;MGT213_CLK0_N;C399;1;MGT.125_GTP213_CLK0_N$;IC38;2;end
IC2;AH20;MGT213_CLK0_N;C794;1;GTP4-7_CLK_IN_N;J2;b5;end
IC2;AJ13;Rx113_3_P;C223;1;PORT0.Rx0_P;C883;2;RxC0_P;J18;1;end
IC2;AJ13;Rx113_3_P;C223;1;PORT0.Rx0_P;P1;14;end
IC2;AJ13;Rx113_3_P;C332;1;PIPE2.Rx11_P;P1;106;end
IC2;AJ15;Rx113_2_P;C228;1;PORT1.Rx1_P;P1;23;end
IC2;AJ15;Rx113_2_P;C328;1;PIPE2.Rx10_P;P1;100;end
IC2;AJ17;Rx113_0_P;C320;1;PIPE2.Rx8_P;P1;88;end
IC2;AJ17;Rx113_0_P;C590;2;PORT3.Rx3_P;P1;38;end
IC2;AJ19;Rx213_1_P;C206;1;DP2.DP1_M2C_P;J15B;a2;end
IC2;AJ19;Rx213_1_P;C803;1;GTP6_RX_P;J2;c4;end
IC2;AJ19;Rx213_1_P;C828;1;Rx14_P;P1;124;end
IC2;AJ21;Rx213_3_P;C630;1;DP2.DP3_M2C_P;J15B;a10;end
IC2;AJ21;Rx213_3_P;C811;1;GTP4_RX_P;J2;c6;end
IC2;AJ21;Rx213_3_P;C836;1;Rx15_P;P1;130;end
IC2;AK13;Rx113_3_N;C224;1;PORT0.Rx0_N;C884;2;RxC0_N;J19;1;end
IC2;AK13;Rx113_3_N;C224;1;PORT0.Rx0_N;P1;15;end
IC2;AK13;Rx113_3_N;C333;1;PIPE2.Rx11_N;P1;105;end
IC2;AK15;Rx113_2_N;C329;1;PIPE2.Rx10_N;P1;99;end
IC2;AK15;Rx113_2_N;C625;1;PORT1.Rx1_N;P1;24;end
IC2;AK17;Rx113_0_N;C321;1;PIPE2.Rx8_N;P1;87;end
IC2;AK17;Rx113_0_N;C751;2;PORT3.Rx3_N;P1;39;end
IC2;AK19;Rx213_1_N;C207;1;DP2.DP1_M2C_N;J15B;a3;end
IC2;AK19;Rx213_1_N;C804;1;GTP6_RX_N;J2;d4;end
IC2;AK19;Rx213_1_N;C829;1;Rx14_N;P1;123;end
IC2;AK21;Rx213_3_N;C632;1;DP2.DP3_M2C_N;J15B;a11;end
IC2;AK21;Rx213_3_N;C812;1;GTP4_RX_N;J2;d6;end
IC2;AK21;Rx213_3_N;C837;1;Rx15_N;P1;129;end
IC2;AL14;Tx113_2_P;C225;1;PORT1.Tx1_P;P1;20;end
IC2;AL14;Tx113_2_P;C326;1;PIPE2.Tx10_P;P1;103;end
IC2;AL16;Rx113_1_P;C324;1;PIPE2.Rx9_P;P1;94;end
IC2;AL16;Rx113_1_P;C455;2;PORT2.Rx2_P;P1;32;end
IC2;AL18;Rx213_0_P;C200;1;DP2.DP0_M2C_P;J15B;c6;end
IC2;AL18;Rx213_0_P;C798;1;GTP5_RX_P;J2;c5;end
IC2;AL18;Rx213_0_P;C824;1;Rx12_P;P1;112;end
IC2;AL20;Rx213_2_P;C631;1;DP2.DP2_M2C_P;J15B;a6;end
IC2;AL20;Rx213_2_P;C807;1;GTP7_RX_P;J2;c3;end
IC2;AL20;Rx213_2_P;C832;1;Rx13_P;P1;118;end
IC2;AL22;Tx213_2_P;C627;1;DP2.DP2_C2M_P;J15B;a26;end
IC2;AL22;Tx213_2_P;C805;1;GTP7_TX_P;J2;e3;end
IC2;AL22;Tx213_2_P;C830;1;Tx13_P;P1;121;end
IC2;AM14;Tx113_2_N;C227;1;PORT1.Tx1_N;P1;21;end
IC2;AM14;Tx113_2_N;C327;1;PIPE2.Tx10_N;P1;102;end
IC2;AM16;Rx113_1_N;C325;1;PIPE2.Rx9_N;P1;93;end
IC2;AM16;Rx113_1_N;C512;2;PORT2.Rx2_N;P1;33;end
IC2;AM18;Rx213_0_N;C201;1;DP2.DP0_M2C_N;J15B;c7;end
IC2;AM18;Rx213_0_N;C800;1;GTP5_RX_N;J2;d5;end
IC2;AM18;Rx213_0_N;C825;1;Rx12_N;P1;111;end
IC2;AM20;Rx213_2_N;C633;1;DP2.DP2_M2C_N;J15B;a7;end
IC2;AM20;Rx213_2_N;C808;1;GTP7_RX_N;J2;d3;end
IC2;AM20;Rx213_2_N;C833;1;Rx13_N;P1;117;end
IC2;AM22;Tx213_2_N;C629;1;DP2.DP2_C2M_N;J15B;a27;end
IC2;AM22;Tx213_2_N;C806;1;GTP7_TX_N;J2;f3;end
IC2;AM22;Tx213_2_N;C831;1;Tx13_N;P1;120;end
IC2;AN13;Tx113_3_P;C221;1;PORT0.Tx0_P;C886;2;TxC0_P;J21;1;end
IC2;AN13;Tx113_3_P;C221;1;PORT0.Tx0_P;P1;11;end
IC2;AN13;Tx113_3_P;C330;1;PIPE2.Tx11_P;P1;109;end
IC2;AN15;Tx113_1_P;C322;1;PIPE2.Tx9_P;P1;97;end
IC2;AN15;Tx113_1_P;C575;2;PORT2.Tx2_P;P1;29;end
IC2;AN17;Tx113_0_P;C318;1;PIPE2.Tx8_P;P1;91;end
IC2;AN17;Tx113_0_P;C753;2;PORT3.Tx3_P;P1;35;end
IC2;AN19;Tx213_0_P;C198;1;DP2.DP0_C2M_P;J15B;c2;end
IC2;AN19;Tx213_0_P;C795;1;GTP5_TX_P;J2;e5;end
IC2;AN19;Tx213_0_P;C822;1;Tx12_P;P1;115;end
IC2;AN21;Tx213_1_P;C204;1;DP2.DP1_C2M_P;J15B;a22;end
